amfi_code,max_drawdown_pct
118632,-53.9886
118989,-71.1932
118991,-69.8243
119000,-17.8919
119001,-18.5147
119002,-17.8807
119003,-18.3956
119004,-29.4339
119005,-24.6353
119006,-56.4381
119007,-45.9081
119008,-53.9449
119009,-50.2082
119092,-38.1501
119551,-58.8264
119553,-39.1122
119555,-48.636
119847,-43.5487
119849,-52.1271
120503,-47.6616
120505,-55.7558
120507,-64.7689
120509,-38.5738
120511,-64.3279
120716,-65.1582
120717,-62.1875
120841,-40.2629
120846,-64.417
120848,-58.9706
120850,-35.7245
125354,-56.1474
125356,-47.0039
125358,-67.1413
125360,-55.6685
125362,-44.9516
125494,-30.8862
125496,-54.0454
125497,-68.0104
125499,-72.9935
125501,-61.4829
